method,eps,alpha,k,trial,seed,wall_sec,frob_resid_noisy,mahal_resid_noisy,frob_err_true,mahal_err_true,rel_frob_err_true,fms
Oracle-AMDM,0.01,1.01,50,0,3016385,0.04149794578552246,0.011125752381022886,0.0001467404954251838,0.009894886282410129,0.00011412213203876168,0.02381770432771782,0.9997477275331548
AMDM,0.01,1.01,50,0,3016385,0.038803815841674805,0.0111289322054067,0.00014688658697249499,0.009823856721192317,0.00011243349842640736,0.02364673105532956,0.9997518991118838
ALS,0.01,1.01,50,1,3117445,0.03120899200439453,0.01022693864934313,0.00012194488696586898,0.009279211847620289,9.94189663994276e-05,0.022332961877823125,0.999771548358799
Oracle-AMDM,0.01,1.01,50,1,3117445,0.04245591163635254,0.18681576667452968,0.03998772725858926,0.1870398222079839,0.04008192279745479,0.4501625016867113,0.6426005535164989
AMDM,0.01,1.01,50,1,3117445,0.0394597053527832,0.010223454410388527,0.00012151527302882697,0.009385524532791121,0.00010152916141110534,0.02258883243924997,0.9997723495624076
ALS,0.01,1.01,50,2,3318505,0.031244993209838867,0.011239639979039182,0.00014511518017946745,0.008785483719846547,8.905823816249953e-05,0.02115056810608027,0.9998142310949996
Oracle-AMDM,0.01,1.01,50,2,3318505,0.04328489303588867,0.18759251003891386,0.04131634095393097,0.18471710346917306,0.0400832314970952,0.444696251437691,0.6026823964868955
AMDM,0.01,1.01,50,2,3318505,0.03973078727722168,0.011237746433187989,0.00014453890478591285,0.008577537486970016,8.480111392842755e-05,0.020649949005173814,0.9998242684179177
ALS,0.01,1.01,50,3,3619565,0.03170013427734375,0.17681624778886662,0.03968005362156006,0.17785622284756444,0.04013046700109851,0.42803972260041684,0.6701790090084836
Oracle-AMDM,0.01,1.01,50,3,3619565,0.042344093322753906,0.17683653726859022,0.039687797197407296,0.1778292106520099,0.04012037075114441,0.42797471338956733,0.7185725964356439
AMDM,0.01,1.01,50,3,3619565,0.03973817825317383,0.01111714084829052,0.0001433954262621481,0.011773490646391434,0.0001622899287449941,0.02833480656248516,0.9996002254545351
ALS,0.01,1.01,50,4,4020625,0.031478166580200195,0.17884833468761838,0.03872278614863586,0.18201635701784602,0.040081877151560606,0.4380281021867351,0.726621808953955
Oracle-AMDM,0.01,1.01,50,4,4020625,0.04229307174682617,0.1788385897460972,0.038718764415648255,0.18201807900579747,0.04008327905349917,0.438032246205035,0.7646583100748421
AMDM,0.01,1.01,50,4,4020625,0.03950691223144531,0.007923403933302204,7.352034355630117e-05,0.00949829166813201,0.00010399054029591127,0.022857938382977415,0.9997847096570472
ALS,0.01,1.05,5,0,4021680,0.03486990928649902,0.12750657007073674,0.04285063098158212,0.12396425250934463,0.04064099671402296,0.3914635009884503,0.7368236976026803
Oracle-AMDM,0.01,1.05,5,0,4021680,0.04290294647216797,0.1413654809334927,0.04121942630498578,0.14074399933520104,0.04065637876384064,0.4444518287134485,0.7623488624724329
